Router

Sevilla - Oviedo	20.1.0.4/30
Sevilla - Centro	20.1.0.8/30
Toledo - Centro 	20.1.0.12/30
Toledo - Oriente	20.1.0.16/30
Murcia - Toledo		20.1.0.20/30	
Murcia - Valencia	20.1.0.24/30
Murcia - Barcelona	20.1.0.28/30
Valencia - Barcelona	20.1.0.32/30	
Barcelona - Oriente	20.1.0.36/30
Madrid - Barcelona	20.1.0.40/30
Madrid - Oriente	20.1.0.44/30
Madrid - Centro		20.1.0.48/30
Madrid - Oviedo		20.1.0.52/30
Multiuser		20.1.0.56/30


Switches

Switch9=50		20.1.0.64/26
Switch1=80		20.1.0.128/25
Switch6=90		20.1.1.0/25
Switch0=100		20.1.1.128/25
Switch7=150		20.1.2.0/24
Switch3=200		20.1.3.0/24
Switch8=250		20.1.4.0/24
Switch2=300		20.1.6.0/23
Switch4=350		20.1.8.0/23
Switch5=400		20.1.10.0/23
Switch13=450 	 	20.1.12.0/23
Switch10=500		20.1.14.0/23
Switch12=600		20.1.16.0/22	
Switch11=700		20.1.20.0/22		
