Router


Sevilla - Oviedo	20.2.0.4/30
Sevilla - Centro	20.2.0.8/30
Toledo - Centro 	20.2.0.12/30
Toledo - Oriente	20.2.0.16/30
Murcia - Toledo		20.2.0.20/30	
Murcia - Valencia	20.2.0.24/30
Murcia - Barcelona	20.2.0.28/30
Valencia - Barcelona	20.2.0.32/30	
Barcelona - Oriente	20.2.0.36/30
Madrid - Barcelona	20.2.0.40/30
Madrid - Oriente	20.2.0.44/30
Madrid - Centro		20.2.0.48/30
Madrid - Oviedo		20.2.0.52/30
Multiuser		20.2.0.56/30

Switches

Switch0=30		20.2.0.64/27	
Switch2=40		20.2.0.128/26
Switch1=75		20.2.1.0/25
Switch3=120		20.2.1.128/25
Switch8=180		20.2.2.0/24
Switch4=190		20.2.3.0/24
Switch5=200		20.2.4.0/24
Switch13=230		20.2.5.0/24
Switch7=240		20.2.6.0/24
Switch6=340		20.2.8.0/23
Switch12=550		20.2.12.0/22
Switch9=630		20.2.16.0/22	
Switch10=800		20.2.20.0/22			
Switch11=1000		20.2.24.0/22	
